id,pdes,spkid,full_name,name,albedo,pha,H,spec_B,spec_T,e,a,i,om,w,ma,epoch_mjd,GM
bK15C00P,"2015 CP",3709775,"       (2015 CP)",,,N,26.3,,,.7959559792680259,2.420190789481031,4.82305703790296,137.8509843109027,258.9187085550781,12.87045633148979,57062,
bK15C00R,"2015 CR",3709924,"       (2015 CR)",,,N,23.3,,,.2801759584950648,.9529200645628051,2.652967851657165,305.8547581901072,343.5768163147296,54.33037215672456,58600,
bK15C00S,"2015 CS",3709926,"       (2015 CS)",,,N,26.4,,,.4957004234160488,1.902174438504558,2.989851975466379,321.7470360184417,211.3093685567101,207.3521559117814,58600,
bK15C00Z,"2015 CZ",3709959,"       (2015 CZ)",,,N,22.3,,,.3539811018287407,1.029238237581434,10.75028337231061,144.5313312123322,155.7604908371198,225.4996613102685,58600,
bK15C01A,"2015 CA1",3709960,"       (2015 CA1)",,,N,20.6,,,.6172274343482317,2.865935976182703,11.24296533229277,354.9138291703028,192.7682284312957,303.6440268412475,58600,
bK15C01B,"2015 CB1",3709961,"       (2015 CB1)",,,N,25.5,,,.3307091678015657,1.496421359008839,11.64363408727036,137.6255927034001,14.53896172337045,102.4127139195074,58600,
bK15C01C,"2015 CC1",3709962,"       (2015 CC1)",,,N,23.8,,,.5144500745654719,1.547001773865478,3.600050828782092,88.60374378113949,327.8517939619095,34.4502182862316,57069,
bK15C01D,"2015 CD1",3709963,"       (2015 CD1)",,,N,28.2,,,.1852127860766974,1.174774454122135,7.578014554693557,139.8476461464233,320.6805543285089,137.8372463375243,58600,
bK15C01E,"2015 CE1",3709966,"       (2015 CE1)",,,N,24.6,,,.6599034914839305,1.591081615919125,6.336168921491818,137.2822508068094,257.6608304274705,29.5456940306389,57068,
bK15C01G,"2015 CG1",3709967,"       (2015 CG1)",,,N,23.8,,,.5789027453466691,1.26638258398801,13.16383087145072,323.3999128337708,296.8622335986603,312.8417041031286,57067,
